"country","global_region","vaccine_safe","region_median","min_max"
"Afghanistan","Asia & Oceania",0.947315096251267,0.877560392333553,NA
"Albania","Europe",0.659062103929024,0.715376226826609,NA
"Algeria","Middle East & North Africa",0.690557451649602,0.864047363932562,"Algeria"
"Argentina","Americas",0.886075949367089,0.831672203765227,NA
"Armenia","Former Soviet Union",0.48849104859335,0.513142857142857,NA
"Australia","Asia & Oceania",0.866459627329193,0.877560392333553,NA
"Austria","Europe",0.565217391304348,0.715376226826609,NA
"Azerbaijan","Former Soviet Union",0.695340501792115,0.513142857142857,NA
"Bangladesh","Asia & Oceania",0.983589743589744,0.877560392333553,"Bangladesh"
"Belarus","Former Soviet Union",0.412087912087912,0.513142857142857,NA
"Belgium","Europe",0.617044228694714,0.715376226826609,NA
"Benin","Africa",0.814070351758794,0.849765258215962,NA
"Bolivia","Americas",0.779888268156424,0.831672203765227,NA
"Bosnia and Herzegovina","Europe",0.724252491694352,0.715376226826609,NA
"Botswana","Africa",0.838790931989924,0.849765258215962,NA
"Brazil","Americas",0.827956989247312,0.831672203765227,NA
"Bulgaria","Europe",0.430409356725146,0.715376226826609,"Bulgaria"
"Burkina Faso","Africa",0.708180708180708,0.849765258215962,NA
"Burundi","Africa",0.930444697833523,0.849765258215962,NA
"Cambodia","Asia & Oceania",0.928654970760234,0.877560392333553,NA
"Cameroon","Africa",0.765957446808511,0.849765258215962,NA
"Canada","Americas",0.774489795918368,0.831672203765227,NA
"Chad","Africa",0.847457627118644,0.849765258215962,NA
"Chile","Americas",0.766407119021135,0.831672203765227,NA
"China","Asia & Oceania",0.767746156362445,0.877560392333553,NA
"Colombia","Americas",0.831672203765227,0.831672203765227,NA
"Comoros","Africa",0.893785310734462,0.849765258215962,NA
"Costa Rica","Americas",0.884288747346072,0.831672203765227,NA
"Croatia","Europe",0.630434782608696,0.715376226826609,NA
"Cyprus","Europe",0.66241134751773,0.715376226826609,NA
"Czech Republic","Europe",0.701212789415656,0.715376226826609,NA
"Denmark","Europe",0.709033613445378,0.715376226826609,NA
"Dominican Republic","Americas",0.93050193050193,0.831672203765227,NA
"Ecuador","Americas",0.873883928571428,0.831672203765227,NA
"Egypt","Middle East & North Africa",0.984678243105209,0.864047363932562,"Egypt"
"El Salvador","Americas",0.790878754171301,0.831672203765227,NA
"Estonia","Former Soviet Union",0.513142857142857,0.513142857142857,NA
"Eswatini","Africa",0.77929465301479,0.849765258215962,NA
"Ethiopia","Africa",0.963768115942029,0.849765258215962,NA
"Finland","Europe",0.771486349848332,0.715376226826609,NA
"France","Europe",0.513485477178423,0.715376226826609,NA
"Gabon","Africa",0.62847965738758,0.849765258215962,NA
"Georgia","Former Soviet Union",0.722627737226278,0.513142857142857,NA
"Germany","Europe",0.674493062966916,0.715376226826609,NA
"Ghana","Africa",0.880171184022825,0.849765258215962,NA
