"country","disagree_safe","disagree_effective"
"Afghanistan",0.0450000000000001,0.019
"Albania",0.13,0.071
"Algeria",0.1,0.0729999999999997
"Argentina",0.0450000000000001,0.032
"Armenia",0.182,0.115
"Australia",0.0588235294117647,0.0319042871385842
"Austria",0.186,0.0989999999999999
"Azerbaijan",0.0989999999999999,0.0759999999999998
"Bangladesh",0.00799999999999999,0.004
"Belarus",0.144203581526861,0.0933081998114983
"Belgium",0.201195219123506,0.0527888446215141
"Benin",0.121,0.0630000000000001
"Bolivia",0.114,0.072
"Bosnia and Herzegovina",0.0729999999999999,0.054
"Botswana",0.0379241516966069,0.0169660678642715
"Brazil",0.088,0.0630000000000001
"Bulgaria",0.143856143856144,0.0699300699300699
"Burkina Faso",0.181,0.077
"Burundi",0.054,0.0290000000000001
"Cambodia",0.047,0.016
"Cameroon",0.145,0.085
"Canada",0.0820158102766799,0.0612648221343873
"Chad",0.0849999999999996,0.064
"Chile",0.105,0.061
"China",0.068237873389971,0.0254864346396276
"Colombia",0.0920000000000001,0.067
"Comoros",0.0759999999999997,0.024
"Costa Rica",0.049,0.044
"Croatia",0.0699999999999999,0.0429999999999999
"Cyprus",0.056379821958457,0.0336300692383779
"Czech Republic",0.06,0.0260000000000001
"Denmark",0.086,0.0420000000000001
"Dominican Republic",0.032,0.0180000000000001
"Ecuador",0.054,0.0600000000000001
"Egypt",0.00300000000000002,0.00500000000000004
"El Salvador",0.106,0.073
"Estonia",0.118,0.0580000000000001
"Eswatini",0.095,0.0660000000000001
"Ethiopia",0.03,0.015
"Finland",0.077,0.041
"France",0.309,0.155
"Gabon",0.26,0.109
"Georgia",0.08,0.04
"Germany",0.136,0.036
"Ghana",0.028,0.033
"Greece",0.04,0.024
"Guatemala",0.064,0.0569999999999999
"Guinea",0.129,0.061
"Haiti",0.166,0.074
"Honduras",0.052,0.046
"Hungary",0.024,0.0140000000000001
"Iceland",0.206,0.014
"India",0.0186666666666668,0.0169999999999999
"Indonesia",0.04,0.081
"Iran",0.0776119402985074,0.0189054726368159
"Iraq",0.039,0.031
"Ireland",0.0760000000000002,0.0329999999999999
"Israel",0.0465346534653466,0.0168316831683168
"Italy",0.135,0.049
"Ivory Coast",0.167,0.074
"Japan",0.0766932270916335,0.0268924302788844
"Jordan",0.0309381237524949,0.0249500998003992
"Kazakhstan",0.103,0.0539999999999999
"Kenya",0.043,0.0680000000000003
"Kosovo",0.053,0.05
"Kuwait",0.0349650349650349,0.022977022977023
"Kyrgyzstan",0.078,0.0649999999999999
"Laos",0.010989010989011,0.004995004995005
"Latvia",0.16356513222331,0.0959843290891283
"Lebanon",0.032,0.012
"Liberia",0.022,0.271
"Libya",0.0638085742771685,0.0418743768693918
"Lithuania",0.063,0.031
"Luxembourg",0.129,0.053
"Macedonia",0.118055555555556,0.0724206349206348
"Madagascar",0.0900000000000001,0.048
"Malawi",0.0249999999999999,0.016
"Malaysia",0.0180000000000001,0.0280000000000001
"Mali",0.133,0.0450000000000001
"Malta",0.0625620655412115,0.0466732869910628
"Mauritania",0.0859999999999999,0.039
"Mauritius",0.159,0.048
"Mexico",0.0628626692456479,0.0502901353965184
"Moldova",0.106,0.0759999999999998
"Mongolia",0.141,0.0509999999999999
"Montenegro",0.124,0.0680000000000002
"Morocco",0.031968031968032,0.0399600399600399
"Mozambique",0.0489999999999999,0.0889999999999998
"Myanmar",0.036,0.022
"Namibia",0.0706467661691541,0.102487562189055
"Nepal",0.034,0.0589999999999999
"Netherlands",0.15984015984016,0.104895104895105
"New Zealand",0.0908183632734531,0.058882235528942
"Nicaragua",0.027,0.034
"Niger",0.053,0.029
"Nigeria",0.05,0.138
"Northern Cyprus",0.0409999999999999,0.016
"Norway",0.055,0.0249999999999999
"Pakistan",0.0360000000000001,0.037
"Palestinian Territories",0.027,0.019
"Panama",0.0429999999999999,0.048
"Paraguay",0.062,0.065
"Peru",0.162,0.14
"Philippines",0.133,0.0920000000000001
"Poland",0.0520000000000001,0.037
"Portugal",0.0489510489510491,0.0829170829170828
"Republic of Congo",0.145,0.031
"Romania",0.103792415169661,0.0489021956087824
"Russia",0.2155,0.1125
"Rwanda",0.015,0.00699999999999994
"Saudi Arabia",0.0403543307086614,0.0354330708661418
"Senegal",0.122,0.0819999999999997
"Serbia",0.078,0.0440000000000001
"Sierra Leone",0.0379999999999999,0.0420000000000001
"Singapore",0.024,0.0189999999999999
"Slovakia",0.0489999999999999,0.02
"Slovenia",0.107,0.071
"South Africa",0.0370000000000001,0.048
"South Korea",0.0601577909270216,0.0187376725838263
"Spain",0.0540000000000001,0.046
"Sri Lanka",0.0622182146077548,0.0252479711451759
"Sweden",0.107,0.025
"Switzerland",0.214,0.087
"Taiwan",0.188,0.0680000000000001
"Tajikistan",0.012,0.00900000000000006
"Tanzania",0.017,0.033
"Thailand",0.0219999999999999,0.0180000000000002
"The Gambia",0.0420000000000001,0.042
"Togo",0.203,0.0840000000000001
"Tunisia",0.0419580419580422,0.0279720279720277
"Turkey",0.0580000000000002,0.03
"Turkmenistan",0.0369999999999999,0.0420000000000002
"Uganda",0.0729999999999999,0.108
"Ukraine",0.151,0.0740000000000001
"United Arab Emirates",0.0348258706467662,0.0288557213930348
"United Kingdom",0.078,0.025
"United States",0.099403578528827,0.0487077534791253
"Uruguay",0.093,0.065
"Uzbekistan",0.032,0.012
"Venezuela",0.0340000000000001,0.02
"Vietnam",0.0395256916996047,0.0138339920948617
"Yemen",0.035,0.0360000000000002
"Zambia",0.0680000000000004,0.077
"Zimbabwe",0.036,0.017
