"country","global_region","disagree_safe_pct","disagree_effective_pct"
"Afghanistan","Asia & Oceania",0.0436991869918698,0.0182926829268293
"Albania","Europe",0.162548764629389,0.0910273081924577
"Algeria","Middle East & North Africa",0.111374407582939,0.0841232227488153
"Argentina","Americas",0.0476190476190478,0.0317460317460318
"Armenia","Former Soviet Union",0.23202170963365,0.153324287652646
"Australia","Asia & Oceania",0.0615866388308977,0.0334029227557411
"Austria","Europe",0.211912943871707,0.112256586483391
"Azerbaijan","Former Soviet Union",0.114873035066505,0.0882708585247883
"Bangladesh","Asia & Oceania",0.00823892893923787,0.00411946446961894
"Belarus","Former Soviet Union",0.164229471316085,0.110236220472441
"Belgium","Europe",0.216069489685125,0.0564603691639522
"Benin","Africa",0.151785714285714,0.0803571428571428
"Bolivia","Americas",0.126984126984127,0.0804988662131519
"Bosnia and Herzegovina","Europe",0.0814732142857143,0.0591517857142857
"Botswana","Africa",0.087071240105541,0.0422163588390501
"Brazil","Americas",0.0947603121516166,0.0691192865105908
"Bulgaria","Europe",0.168087697929354,0.0840438489646771
"Burkina Faso","Africa",0.221534653465347,0.0903465346534653
"Burundi","Africa",0.0608899297423888,0.031615925058548
"Cambodia","Asia & Oceania",0.0532544378698224,0.0189349112426036
"Cameroon","Africa",0.15940366972477,0.0940366972477064
"Canada","Americas",0.0853031860226105,0.0616649537512848
"Chad","Africa",0.118497109826589,0.0910404624277458
"Chile","Americas",0.115212527964206,0.0671140939597315
"China","Asia & Oceania",0.0794235924932966,0.0301608579088473
"Colombia","Americas",0.100671140939597,0.0738255033557046
"Comoros","Africa",0.0872093023255808,0.0279069767441861
"Costa Rica","Americas",0.0512820512820513,0.045940170940171
"Croatia","Europe",0.0809859154929576,0.0504694835680752
"Cyprus","Europe",0.0786838340486409,0.0486409155937053
"Czech Republic","Europe",0.066815144766147,0.0289532293986637
"Denmark","Europe",0.0904311251314406,0.0441640378548896
"Dominican Republic","Americas",0.0415045395590143,0.0220492866407264
"Ecuador","Americas",0.0597519729425028,0.0653889515219841
"Egypt","Middle East & North Africa",0.00309917355371902,0.00516528925619833
"El Salvador","Americas",0.118510158013544,0.080135440180587
"Estonia","Former Soviet Union",0.12987012987013,0.0649350649350649
"Eswatini","Africa",0.106113033448673,0.0738177623990773
"Ethiopia","Africa",0.0302083333333333,0.0125
"Finland","Europe",0.0780141843971631,0.0415400202634245
"France","Europe",0.31945889698231,0.159209157127992
"Gabon","Africa",0.276086956521739,0.118478260869565
"Georgia","Former Soviet Union",0.0931989924433249,0.0491183879093199
"Germany","Europe",0.143776824034335,0.03862660944206
"Ghana","Africa",0.037410071942446,0.0474820143884892
"Greece","Europe",0.0426894343649946,0.0256136606189968
"Guatemala","Americas",0.075776397515528,0.0683229813664598
"Guinea","Africa",0.159695817490494,0.0760456273764259
"Haiti","Americas",0.215425531914894,0.0957446808510638
"Honduras","Americas",0.0569476082004556,0.0523917995444191
"Hungary","Europe",0.0258620689655173,0.0150862068965518
"Iceland","Europe",0.216386554621849,0.0147058823529412
"India","Asia & Oceania",0.0207703927492447,0.0185045317220545
"Indonesia","Asia & Oceania",0.0611620795107034,0.122324159021407
"Iran","Middle East & North Africa",0.0858416945373467,0.020066889632107
"Iraq","Middle East & North Africa",0.045346062052506,0.035799522673031
"Ireland","Europe",0.0802139037433156,0.0352941176470589
"Israel","Middle East & North Africa",0.0501635768811341,0.0185387131952017
"Italy","Europe",0.136734693877551,0.0500000000000001
"Ivory Coast","Africa",0.185393258426966,0.0831460674157303
"Japan","Asia & Oceania",0.0853658536585367,0.0299334811529934
"Jordan","Middle East & North Africa",0.0323624595469255,0.0269687162891047
"Kazakhstan","Former Soviet Union",0.120906801007557,0.0642317380352646
"Kenya","Africa",0.0479910714285714,0.0747767857142857
"Kosovo","Europe",0.0592334494773518,0.0580720092915215
"Kuwait","Middle East & North Africa",0.0398550724637681,0.0265700483091787
"Kyrgyzstan","Former Soviet Union",0.0997304582210243,0.0862533692722373
"Laos","Asia & Oceania",0.021868787276342,0.00994035785288269
"Latvia","Former Soviet Union",0.188967136150235,0.115023474178404
"Lebanon","Middle East & North Africa",0.0330578512396695,0.012396694214876
"Liberia","Africa",0.023732470334412,0.292340884573895
"Libya","Middle East & North Africa",0.0716845878136201,0.04778972520908
"Lithuania","Former Soviet Union",0.0847953216374269,0.043859649122807
"Luxembourg","Europe",0.137044967880086,0.0556745182012848
"Macedonia","Europe",0.137115839243499,0.0862884160756502
"Madagascar","Africa",0.110837438423645,0.0578817733990148
"Malawi","Africa",0.028735632183908,0.0172413793103449
"Malaysia","Asia & Oceania",0.0306643952299831,0.0442930153321978
"Mali","Africa",0.173130193905817,0.0581717451523547
"Malta","Europe",0.0690032858707557,0.0514786418400879
"Mauritania","Africa",0.113079019073569,0.0517711171662125
"Mauritius","Africa",0.167550371155885,0.048780487804878
"Mexico","Americas",0.0691489361702125,0.0553191489361702
"Moldova","Former Soviet Union",0.129117259552042,0.0961791831357048
"Mongolia","Asia & Oceania",0.152348224513173,0.0549828178694159
"Montenegro","Europe",0.139644970414201,0.080473372781065
"Morocco","Middle East & North Africa",0.0359435173299102,0.0423620025673941
"Mozambique","Africa",0.0525672371638141,0.107579462102689
"Myanmar","Asia & Oceania",0.0362860192102455,0.0234791889007471
"Namibia","Africa",0.110935023771791,0.158478605388273
"Nepal","Asia & Oceania",0.0410628019323671,0.0712560386473429
"Netherlands","Europe",0.182883939038687,0.123094958968347
"New Zealand","Asia & Oceania",0.0962566844919786,0.0631016042780749
